Dataset Name,model,n_estimators,accuracy,acc_std_dev,f1,f1_std_dev,g_mean,g_mean_std_dev,oracle_mean,oracle_std_dev
ecoli3,RLO,70,0.8689640035118525,0.04069953349742182,0.41265401265401264,0.2301336752107435,0.6247948400525144,0.3316834658299312,0.8689640035118525,0.04069953349742182
segment0,RLO,70,0.7578508981979698,0.15288914710238385,0.5939776564531322,0.19984709890206195,0.8306326666718592,0.09480931253159411,0.7578508981979698,0.15288914710238385
vehicle2,RLO,70,0.8215593456317437,0.13846350820916659,0.7429058284327698,0.14855249122540845,0.8313458788846834,0.11105484965965769,0.8215593456317437,0.13846350820916659
yeast3,RLO,70,0.7736964236964237,0.18633143368165672,0.5029356227864927,0.16118097488041475,0.7378747278034089,0.08789656495900099,0.7736964236964237,0.18633143368165672
glass6,RLO,70,0.8411960132890366,0.08737983642794393,0.5955128205128205,0.12427303401079623,0.8131336447392666,0.06632692800531163,0.8411960132890366,0.08737983642794393
ecoli3,RLO,80,0.883801580333626,0.034821947873496656,0.3202020202020202,0.19767034153369786,0.4714526564968324,0.26302924421896184,0.883801580333626,0.034821947873496656
segment0,RLO,80,0.7952089847968373,0.21405729818007027,0.6883876894246006,0.26047218954907364,0.8516704886722193,0.15398978814079117,0.7952089847968373,0.21405729818007027
vehicle2,RLO,80,0.8583501566306996,0.09588521198072997,0.7670266829841299,0.1340600078700659,0.8493408190387456,0.0924113721072597,0.8583501566306996,0.09588521198072997
yeast3,RLO,80,0.8874533624533625,0.03210820606286282,0.5377350629572216,0.19021661044636767,0.7537708658363076,0.20491118393099364,0.8874533624533625,0.03210820606286282
glass6,RLO,80,0.9114064230343301,0.05756026351498373,0.6291608391608391,0.24568291729016836,0.7290912063849089,0.1948731954932431,0.9114064230343301,0.05756026351498373
ecoli3,RLO,90,0.801009657594381,0.0851655457733332,0.3410308926437958,0.19371209008845305,0.6060659187834199,0.31543476406320087,0.801009657594381,0.0851655457733332
segment0,RLO,90,0.8319519959433193,0.15124584808096295,0.6938498421621332,0.210155329575412,0.8868145620186587,0.10588691427864091,0.8319519959433193,0.15124584808096295
vehicle2,RLO,90,0.8450887573964497,0.08984142747621057,0.7515472056489579,0.09363305953096901,0.8348801686027777,0.06396192696791766,0.8450887573964497,0.08984142747621057
yeast3,RLO,90,0.7944990444990445,0.10579365271760263,0.492750468676468,0.08897513963585361,0.7909343836639701,0.08551609243447171,0.7944990444990445,0.10579365271760263
glass6,RLO,90,0.8784053156146179,0.12175252540647288,0.7091686091686091,0.20157556711421618,0.8579499546059266,0.09373761388340161,0.8784053156146179,0.12175252540647288
ecoli3,RLO,100,0.73784021071115,0.192670483170126,0.15475113122171943,0.21239801653012938,0.2787743022116782,0.3639566398008415,0.73784021071115,0.192670483170126
segment0,RLO,100,0.7457118441934061,0.1692252617618761,0.5890797093794753,0.240420313947844,0.8177340321260644,0.12533826362816924,0.7457118441934061,0.1692252617618761
vehicle2,RLO,100,0.7589349112426036,0.1328070094578702,0.6451794798875092,0.16561817427439546,0.7618333284558501,0.12665476846018775,0.7589349112426036,0.1328070094578702
yeast3,RLO,100,0.8416598416598416,0.08470035058423081,0.5566310281444286,0.13996207345820852,0.8180168454633986,0.05658613355221378,0.8416598416598416,0.08470035058423081
glass6,RLO,100,0.8230343300110743,0.1723657426526433,0.6541666666666666,0.19075871903765992,0.8475271261777134,0.12974168770322664,0.8230343300110743,0.1723657426526433
ecoli3,RandomSubspaces,10,0.913564530289728,0.02411139951162569,0.33777777777777773,0.3356659126844303,0.42181444799584045,0.38947407847090704,0.9970149253731343,0.0059701492537313616
segment0,RandomSubspaces,10,0.9922012188823469,0.004859218545779152,0.9716488372093023,0.017950017964983016,0.9734363541347882,0.01799339742430474,1.0,0.0
vehicle2,RandomSubspaces,10,0.8936373129133311,0.026365715391188104,0.760626128928861,0.07605425811060695,0.8081384268180727,0.07390293510283079,0.997640097459102,0.0028902994923177268
yeast3,RandomSubspaces,10,0.8854422604422604,0.006069516767464328,0.010810810810810811,0.021621621621621623,0.03508647326336185,0.0701729465267237,0.9858585858585858,0.00913445115572427
glass6,RandomSubspaces,10,0.9485049833887043,0.017767098946340102,0.7627705627705628,0.12427032584117707,0.8106667835916985,0.1175174751774439,0.9860465116279069,0.011392975547828754
ecoli3,RandomSubspaces,20,0.904741000877963,0.020330107765460775,0.2533333333333333,0.25438378704451886,0.3302675586099989,0.29517694476832906,1.0,0.0
segment0,RandomSubspaces,20,0.9969659407837282,0.0022114223898373414,0.9892184790178755,0.007910203849622417,0.9905744502535182,0.008682731026110425,1.0,0.0
vehicle2,RandomSubspaces,20,0.920814479638009,0.02132212627994456,0.831465374280509,0.0507582765749911,0.86449319185462,0.04504193054575794,0.9988235294117647,0.00235294117647058
